parameter_id,group,scope,region_or_case,parameter,central_value,units,dependency,calibration_status,source,code_location,uncertainty_treatment,evidence_role
P0011,BNF primitive,canonical,north_america,free_living_bnf,5.0,kg N ha-1 yr-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[north_america].free_living_bnf,"fixed; BNF correlation is descriptive, not causal",central N supply
P0012,BNF derived,canonical,north_america,baseline_bnf,31.923076923076923,kg N ha-1 yr-1,derived,"derived, not independently specified",legume_frac*net_n_credit/(1-legume_frac)+free_living_bnf,code/model/parameter_registry.py::BASELINE_BNF_KG_N_HA_YR[north_america],inherits uncertainty of component assumptions,central N supply
P0013,BNF primitive,canonical,europe,legume_frac,0.25,fraction,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[europe].legume_frac,"fixed; BNF correlation is descriptive, not causal",central N supply
P0014,BNF primitive,canonical,europe,net_n_credit,40.0,kg N ha-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[europe].net_n_credit,"fixed; BNF correlation is descriptive, not causal",central N supply
P0015,BNF primitive,canonical,europe,legume_yield_ceq,1.3,t cereal-equivalent ha-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[europe].legume_yield_ceq,"fixed; BNF correlation is descriptive, not causal",central N supply
P0016,BNF primitive,canonical,europe,free_living_bnf,5.0,kg N ha-1 yr-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[europe].free_living_bnf,"fixed; BNF correlation is descriptive, not causal",central N supply
P0017,BNF derived,canonical,europe,baseline_bnf,18.333333333333336,kg N ha-1 yr-1,derived,"derived, not independently specified",legume_frac*net_n_credit/(1-legume_frac)+free_living_bnf,code/model/parameter_registry.py::BASELINE_BNF_KG_N_HA_YR[europe],inherits uncertainty of component assumptions,central N supply
P0018,BNF primitive,canonical,east_asia,legume_frac,0.2,fraction,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[east_asia].legume_frac,"fixed; BNF correlation is descriptive, not causal",central N supply
P0019,BNF primitive,canonical,east_asia,net_n_credit,35.0,kg N ha-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[east_asia].net_n_credit,"fixed; BNF correlation is descriptive, not causal",central N supply
P0020,BNF primitive,canonical,east_asia,legume_yield_ceq,1.2,t cereal-equivalent ha-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[east_asia].legume_yield_ceq,"fixed; BNF correlation is descriptive, not causal",central N supply
P0021,BNF primitive,canonical,east_asia,free_living_bnf,5.0,kg N ha-1 yr-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[east_asia].free_living_bnf,"fixed; BNF correlation is descriptive, not causal",central N supply
P0022,BNF derived,canonical,east_asia,baseline_bnf,13.75,kg N ha-1 yr-1,derived,"derived, not independently specified",legume_frac*net_n_credit/(1-legume_frac)+free_living_bnf,code/model/parameter_registry.py::BASELINE_BNF_KG_N_HA_YR[east_asia],inherits uncertainty of component assumptions,central N supply
P0023,BNF primitive,canonical,south_asia,legume_frac,0.3,fraction,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[south_asia].legume_frac,"fixed; BNF correlation is descriptive, not causal",central N supply
P0024,BNF primitive,canonical,south_asia,net_n_credit,40.0,kg N ha-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[south_asia].net_n_credit,"fixed; BNF correlation is descriptive, not causal",central N supply
P0025,BNF primitive,canonical,south_asia,legume_yield_ceq,1.0,t cereal-equivalent ha-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[south_asia].legume_yield_ceq,"fixed; BNF correlation is descriptive, not causal",central N supply
P0026,BNF primitive,canonical,south_asia,free_living_bnf,5.0,kg N ha-1 yr-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[south_asia].free_living_bnf,"fixed; BNF correlation is descriptive, not causal",central N supply
P0027,BNF derived,canonical,south_asia,baseline_bnf,22.142857142857142,kg N ha-1 yr-1,derived,"derived, not independently specified",legume_frac*net_n_credit/(1-legume_frac)+free_living_bnf,code/model/parameter_registry.py::BASELINE_BNF_KG_N_HA_YR[south_asia],inherits uncertainty of component assumptions,central N supply
P0028,BNF primitive,canonical,southeast_asia,legume_frac,0.25,fraction,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[southeast_asia].legume_frac,"fixed; BNF correlation is descriptive, not causal",central N supply
P0029,BNF primitive,canonical,southeast_asia,net_n_credit,45.0,kg N ha-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[southeast_asia].net_n_credit,"fixed; BNF correlation is descriptive, not causal",central N supply
P0030,BNF primitive,canonical,southeast_asia,legume_yield_ceq,1.2,t cereal-equivalent ha-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[southeast_asia].legume_yield_ceq,"fixed; BNF correlation is descriptive, not causal",central N supply
P0031,BNF primitive,canonical,southeast_asia,free_living_bnf,8.0,kg N ha-1 yr-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[southeast_asia].free_living_bnf,"fixed; BNF correlation is descriptive, not causal",central N supply
P0032,BNF derived,canonical,southeast_asia,baseline_bnf,23.0,kg N ha-1 yr-1,derived,"derived, not independently specified",legume_frac*net_n_credit/(1-legume_frac)+free_living_bnf,code/model/parameter_registry.py::BASELINE_BNF_KG_N_HA_YR[southeast_asia],inherits uncertainty of component assumptions,central N supply
P0033,BNF primitive,canonical,latin_america,legume_frac,0.45,fraction,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[latin_america].legume_frac,"fixed; BNF correlation is descriptive, not causal",central N supply
P0034,BNF primitive,canonical,latin_america,net_n_credit,40.0,kg N ha-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[latin_america].net_n_credit,"fixed; BNF correlation is descriptive, not causal",central N supply
P0035,BNF primitive,canonical,latin_america,legume_yield_ceq,1.5,t cereal-equivalent ha-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[latin_america].legume_yield_ceq,"fixed; BNF correlation is descriptive, not causal",central N supply
P0036,BNF primitive,canonical,latin_america,free_living_bnf,5.0,kg N ha-1 yr-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[latin_america].free_living_bnf,"fixed; BNF correlation is descriptive, not causal",central N supply
P0037,BNF derived,canonical,latin_america,baseline_bnf,37.72727272727273,kg N ha-1 yr-1,derived,"derived, not independently specified",legume_frac*net_n_credit/(1-legume_frac)+free_living_bnf,code/model/parameter_registry.py::BASELINE_BNF_KG_N_HA_YR[latin_america],inherits uncertainty of component assumptions,central N supply
P0038,BNF primitive,canonical,sub_saharan_africa,legume_frac,0.25,fraction,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[sub_saharan_africa].legume_frac,"fixed; BNF correlation is descriptive, not causal",central N supply
P0039,BNF primitive,canonical,sub_saharan_africa,net_n_credit,30.0,kg N ha-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[sub_saharan_africa].net_n_credit,"fixed; BNF correlation is descriptive, not causal",central N supply
P0040,BNF primitive,canonical,sub_saharan_africa,legume_yield_ceq,0.8,t cereal-equivalent ha-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[sub_saharan_africa].legume_yield_ceq,"fixed; BNF correlation is descriptive, not causal",central N supply
P0041,BNF primitive,canonical,sub_saharan_africa,free_living_bnf,5.0,kg N ha-1 yr-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[sub_saharan_africa].free_living_bnf,"fixed; BNF correlation is descriptive, not causal",central N supply
P0042,BNF derived,canonical,sub_saharan_africa,baseline_bnf,15.0,kg N ha-1 yr-1,derived,"derived, not independently specified",legume_frac*net_n_credit/(1-legume_frac)+free_living_bnf,code/model/parameter_registry.py::BASELINE_BNF_KG_N_HA_YR[sub_saharan_africa],inherits uncertainty of component assumptions,central N supply
P0043,BNF primitive,canonical,fsu_central_asia,legume_frac,0.2,fraction,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[fsu_central_asia].legume_frac,"fixed; BNF correlation is descriptive, not causal",central N supply
P0044,BNF primitive,canonical,fsu_central_asia,net_n_credit,35.0,kg N ha-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[fsu_central_asia].net_n_credit,"fixed; BNF correlation is descriptive, not causal",central N supply
P0045,BNF primitive,canonical,fsu_central_asia,legume_yield_ceq,1.0,t cereal-equivalent ha-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[fsu_central_asia].legume_yield_ceq,"fixed; BNF correlation is descriptive, not causal",central N supply
P0046,BNF primitive,canonical,fsu_central_asia,free_living_bnf,5.0,kg N ha-1 yr-1,primitive,externally specified,FAOSTAT crop-area shares and Herridge/Peoples/Ladha source family,code/model/parameter_registry.py::BNF_COMPONENTS[fsu_central_asia].free_living_bnf,"fixed; BNF correlation is descriptive, not causal",central N supply
P0047,BNF derived,canonical,fsu_central_asia,baseline_bnf,13.75,kg N ha-1 yr-1,derived,"derived, not independently specified",legume_frac*net_n_credit/(1-legume_frac)+free_living_bnf,code/model/parameter_registry.py::BASELINE_BNF_KG_N_HA_YR[fsu_central_asia],inherits uncertainty of component assumptions,central N supply
P0048,SOM default,canonical and fallback,global/default,f_active,0.04,fraction of SOC,primitive,externally specified,Century/RothC structural defaults,code/model/soil_n_model.py::SOMPoolParams.f_active,fixed; not varied in submitted analyses,central path
P0049,SOM default,canonical and fallback,global/default,f_slow,0.38,fraction of SOC,primitive,externally specified,Century/RothC structural defaults,code/model/soil_n_model.py::SOMPoolParams.f_slow,fixed; not varied in submitted analyses,central path
P0050,SOM default,canonical and fallback,global/default,f_passive,0.58,fraction of SOC,primitive,externally specified,Century/RothC structural defaults,code/model/soil_n_model.py::SOMPoolParams.f_passive,fixed; not varied in submitted analyses,central path
P0051,SOM default,canonical and fallback,global/default,k_active,0.33,yr-1,primitive,externally specified,Century/RothC-informed turnover,code/model/soil_n_model.py::SOMPoolParams.k_active,fixed; not varied in submitted analyses,central path
P0052,SOM default,canonical and fallback,global/default,k_slow,0.03705,yr-1,primitive,externally specified,equilibrium calibration; tropical multiplier from Laub et al. 2024,code/model/soil_n_model.py::SOMPoolParams.k_slow,MC multiplier 0.60-1.40,central path
P0053,SOM default,canonical and fallback,global/default,k_passive,0.000728,yr-1,primitive,externally specified,equilibrium calibration; tropical multiplier from Laub et al. 2024,code/model/soil_n_model.py::SOMPoolParams.k_passive,fixed; not varied in submitted analyses,central path
P0054,SOM default,canonical and fallback,global/default,cn_active,8.0,mass ratio,primitive,externally specified,Century/RothC pool stoichiometry,code/model/soil_n_model.py::SOMPoolParams.cn_active,fixed; not varied in submitted analyses,central path
P0055,SOM default,canonical and fallback,global/default,cn_slow,12.0,mass ratio,primitive,externally specified,Century/RothC pool stoichiometry,code/model/soil_n_model.py::SOMPoolParams.cn_slow,fixed; not varied in submitted analyses,central path
P0056,SOM default,canonical and fallback,global/default,cn_passive,12.0,mass ratio,primitive,externally specified,Century/RothC pool stoichiometry,code/model/soil_n_model.py::SOMPoolParams.cn_passive,fixed; not varied in submitted analyses,central path
P0057,SOM default,canonical and fallback,global/default,h_active_to_slow,0.4,fraction,primitive,externally specified,Century/RothC humification structure,code/model/soil_n_model.py::SOMPoolParams.h_active_to_slow,fixed; not varied in submitted analyses,central path
P0058,SOM default,canonical and fallback,global/default,h_slow_to_passive,0.03,fraction,primitive,externally specified,Century/RothC humification structure,code/model/soil_n_model.py::SOMPoolParams.h_slow_to_passive,fixed; not varied in submitted analyses,central path
P0059,SOM default,canonical and fallback,global/default,regime,temperate_century,label,primitive,classification label,documented inline and in SI,code/model/soil_n_model.py::SOMPoolParams.regime,fixed; not varied in submitted analyses,central path
P0060,crop default,canonical and legacy,global/default,yield_max,5.0,t grain ha-1,primitive,fallback/legacy,disabled fallback; canonical regional values solved at runtime,code/model/soil_n_model.py::CropParams.yield_max,fixed; not varied in submitted analyses,central path
P0061,crop default,canonical and legacy,global/default,mitscherlich_c,0.015,(kg N ha-1)-1,primitive,externally specified,fixed cross-region response curvature,code/model/soil_n_model.py::CropParams.mitscherlich_c,MC multiplier 0.70-1.30,central path
P0062,crop default,canonical and legacy,global/default,yield_min,0.0,t grain ha-1,primitive,fallback/legacy,physiological nonnegative fallback,code/model/soil_n_model.py::CropParams.yield_min,fixed; not varied in submitted analyses,central path
P0063,crop default,canonical and legacy,global/default,residue_grain_ratio,1.0,mass ratio,primitive,externally specified,IPCC crop-residue relationship,code/model/soil_n_model.py::CropParams.residue_grain_ratio,fixed; not varied in submitted analyses,central path
P0064,crop default,canonical and legacy,global/default,residue_c_fraction,0.45,fraction,primitive,externally specified,crop-residue carbon-content convention,code/model/soil_n_model.py::CropParams.residue_c_fraction,fixed; not varied in submitted analyses,central path
P0065,crop default,canonical and legacy,global/default,residue_cn,75.0,mass ratio,primitive,externally specified,production-weighted cereal-residue literature,code/model/soil_n_model.py::CropParams.residue_cn,fixed; not varied in submitted analyses,central path
P0066,crop default,canonical and legacy,global/default,grain_n_fraction,0.018,fraction,primitive,externally specified,grain N-content literature,code/model/soil_n_model.py::CropParams.grain_n_fraction,fixed; not varied in submitted analyses,central path
P0067,crop default,canonical and legacy,global/default,harvest_index,0.45,fraction,primitive,externally specified,cereal harvest-index literature,code/model/soil_n_model.py::CropParams.harvest_index,fixed; not varied in submitted analyses,central path
P0068,crop default,canonical and legacy,global/default,nue_apparent,0.75,fraction,primitive,fallback/legacy,annual legacy-engine parameter; not used by monthly path,code/model/soil_n_model.py::CropParams.nue_apparent,fixed; not varied in submitted analyses,central path
P0069,feedback default,canonical and legacy,global/default,residue_feedback,true,boolean,primitive,externally specified,documented inline and in SI,code/model/soil_n_model.py::FeedbackParams.residue_feedback,fixed; not varied in submitted analyses,central path
P0070,feedback default,canonical and legacy,global/default,physical_feedback,true,boolean,primitive,externally specified,documented inline and in SI,code/model/soil_n_model.py::FeedbackParams.physical_feedback,fixed; not varied in submitted analyses,central path
P0071,feedback default,canonical and legacy,global/default,physical_strength,1.0,multiplier,primitive,externally specified,documented inline and in SI,code/model/soil_n_model.py::FeedbackParams.physical_strength,fixed; not varied in submitted analyses,central path
P0072,feedback default,canonical and legacy,global/default,expansion_feedback,false,boolean,primitive,externally specified,documented inline and in SI,code/model/soil_n_model.py::FeedbackParams.expansion_feedback,fixed; not varied in submitted analyses,central path
P0073,feedback default,canonical and legacy,global/default,cn_coupling_feedback,true,boolean,primitive,externally specified,documented inline and in SI,code/model/soil_n_model.py::FeedbackParams.cn_coupling_feedback,fixed; not varied in submitted analyses,central path
P0074,feedback default,canonical and legacy,global/default,cre_base,0.11,fraction,primitive,externally specified,Lehtinen et al. 2014 fallback,code/model/soil_n_model.py::FeedbackParams.cre_base,fixed; not varied in submitted analyses,central path
P0075,feedback default,canonical and legacy,global/default,cre_to_active,0.6,fraction,primitive,externally specified,Century-style allocation assumption,code/model/soil_n_model.py::FeedbackParams.cre_to_active,fixed; not varied in submitted analyses,central path
P0076,feedback default,canonical and legacy,global/default,cre_to_slow,0.4,fraction,primitive,externally specified,Century-style allocation assumption,code/model/soil_n_model.py::FeedbackParams.cre_to_slow,fixed; not varied in submitted analyses,central path
P0077,monthly N default,canonical,global/default,q10,2.0,ratio per 10 deg C,primitive,externally specified,standard decomposition-temperature response,code/model/monthly_model_v3.py::MonthlyNParams.q10,fixed; not varied in submitted analyses,central path
P0078,monthly N default,canonical,global/default,t_ref,25.0,deg C,primitive,externally specified,model reference temperature,code/model/monthly_model_v3.py::MonthlyNParams.t_ref,fixed; not varied in submitted analyses,central path
P0079,monthly N default,canonical,global/default,t_min,-5.0,deg C,primitive,externally specified,model decomposition cutoff,code/model/monthly_model_v3.py::MonthlyNParams.t_min,fixed; not varied in submitted analyses,central path
P0080,monthly N default,canonical,global/default,moist_opt_lo,0.5,precip/PET ratio,primitive,externally specified,structural moisture-response assumption,code/model/monthly_model_v3.py::MonthlyNParams.moist_opt_lo,fixed; not varied in submitted analyses,central path
P0081,monthly N default,canonical,global/default,moist_opt_hi,1.5,precip/PET ratio,primitive,externally specified,structural moisture-response assumption,code/model/monthly_model_v3.py::MonthlyNParams.moist_opt_hi,fixed; not varied in submitted analyses,central path
P0082,monthly N default,canonical,global/default,moist_min,0.2,multiplier,primitive,externally specified,structural moisture-response assumption,code/model/monthly_model_v3.py::MonthlyNParams.moist_min,fixed; not varied in submitted analyses,central path
P0083,monthly N default,canonical,global/default,moist_waterlog,0.5,multiplier,primitive,externally specified,structural moisture-response assumption,code/model/monthly_model_v3.py::MonthlyNParams.moist_waterlog,fixed; not varied in submitted analyses,central path
P0084,monthly N default,canonical,global/default,leach_coeff,0.1,per 100 mm drainage,primitive,externally specified,monthly N-loss parameterization,code/model/monthly_model_v3.py::MonthlyNParams.leach_coeff,fixed; not varied in submitted analyses,central path
P0085,monthly N default,canonical,global/default,leach_base,0.025,fraction month-1,primitive,externally specified,monthly N-loss parameterization,code/model/monthly_model_v3.py::MonthlyNParams.leach_base,fixed; not varied in submitted analyses,central path
P0086,monthly N default,canonical,global/default,denitrif_base,0.008,fraction month-1,primitive,externally specified,monthly N-loss parameterization,code/model/monthly_model_v3.py::MonthlyNParams.denitrif_base,fixed; not varied in submitted analyses,central path
P0087,monthly N default,canonical,global/default,denitrif_wet_mult,4.0,multiplier,primitive,externally specified,monthly N-loss parameterization,code/model/monthly_model_v3.py::MonthlyNParams.denitrif_wet_mult,fixed; not varied in submitted analyses,central path
P0088,monthly N default,canonical,global/default,immob_frac,0.15,fraction,primitive,externally specified,monthly N-balance parameterization,code/model/monthly_model_v3.py::MonthlyNParams.immob_frac,fixed; not varied in submitted analyses,central path
P0089,monthly N default,canonical,global/default,max_uptake_frac,0.75,fraction,primitive,externally specified,calibrated in-season capture component,code/model/monthly_model_v3.py::MonthlyNParams.max_uptake_frac,MC absolute prior 0.60-0.90 and NUE sweep 0.45-0.95,central path
P0090,monthly N default,canonical,global/default,min_n_pool,2.0,kg N ha-1,primitive,externally specified,numerical/biophysical mineral-N floor,code/model/monthly_model_v3.py::MonthlyNParams.min_n_pool,fixed; not varied in submitted analyses,central path
P0091,economic default,scenario fallback,global/default,fert_price_shock,1.0,proportional change,primitive,externally specified,documented inline and in SI,code/model/coupled_econ_biophysical.py::EconParams.fert_price_shock,fixed; not varied in submitted analyses,fallback
P0092,economic default,scenario fallback,global/default,eps_F_PF,-0.3,elasticity,primitive,externally specified,documented inline and in SI,code/model/coupled_econ_biophysical.py::EconParams.eps_F_PF,fixed; not varied in submitted analyses,fallback
P0093,economic default,scenario fallback,global/default,eps_F_PY,0.1,elasticity,primitive,externally specified,documented inline and in SI,code/model/coupled_econ_biophysical.py::EconParams.eps_F_PY,fixed; not varied in submitted analyses,fallback
P0094,economic default,scenario fallback,global/default,eps_F_N,0.0,elasticity,primitive,externally specified,documented inline and in SI,code/model/coupled_econ_biophysical.py::EconParams.eps_F_N,fixed; not varied in submitted analyses,fallback
P0095,economic default,scenario fallback,global/default,eta,-0.45,elasticity,primitive,externally specified,documented inline and in SI,code/model/coupled_econ_biophysical.py::EconParams.eta,fixed; not varied in submitted analyses,fallback
P0096,economic default,scenario fallback,global/default,alpha,0.1,elasticity,primitive,externally specified,documented inline and in SI,code/model/coupled_econ_biophysical.py::EconParams.alpha,fixed; not varied in submitted analyses,fallback
P0097,economic default,scenario fallback,global/default,eps_LD_PL,-0.3,elasticity,primitive,externally specified,documented inline and in SI,code/model/coupled_econ_biophysical.py::EconParams.eps_LD_PL,fixed; not varied in submitted analyses,fallback
P0098,economic default,scenario fallback,global/default,eps_LD_PY,0.2,elasticity,primitive,externally specified,documented inline and in SI,code/model/coupled_econ_biophysical.py::EconParams.eps_LD_PY,fixed; not varied in submitted analyses,fallback
P0099,economic default,scenario fallback,global/default,eps_LS_PL,0.5,elasticity,primitive,externally specified,documented inline and in SI,code/model/coupled_econ_biophysical.py::EconParams.eps_LS_PL,fixed; not varied in submitted analyses,fallback
P0100,economic default,scenario fallback,global/default,fert_supply_ceiling,1.0,fraction of baseline,primitive,externally specified,documented inline and in SI,code/model/coupled_econ_biophysical.py::EconParams.fert_supply_ceiling,fixed; not varied in submitted analyses,fallback
P0101,economic default,scenario fallback,global/default,fert_capacity_recovery_years,0.0,yr,primitive,externally specified,documented inline and in SI,code/model/coupled_econ_biophysical.py::EconParams.fert_capacity_recovery_years,fixed; not varied in submitted analyses,fallback
P0102,economic default,scenario fallback,global/default,price_relaxes_with_recovery,true,boolean,primitive,externally specified,documented inline and in SI,code/model/coupled_econ_biophysical.py::EconParams.price_relaxes_with_recovery,fixed; not varied in submitted analyses,fallback
P0103,regional biophysical,canonical,north_america,soc_initial,50.0,t C ha-1 (0-30 cm),primitive,externally specified,ISRIC SoilGrids cropland regionalization,code/model/soil_n_model.py::get_default_regions[north_america].soc_initial,fixed; not varied in submitted analyses,central path
P0104,regional biophysical,canonical,north_america,cn_bulk,10.0,mass ratio,primitive,externally specified,regional soil C:N literature/assumption,code/model/soil_n_model.py::get_default_regions[north_america].cn_bulk,one-at-a-time +/-20% mineralizable-N test,central path
P0105,regional biophysical,canonical,north_america,cropland_mha,170.0,million ha,primitive,externally specified,FAOSTAT land-use aggregation,code/model/soil_n_model.py::get_default_regions[north_america].cropland_mha,fixed; not varied in submitted analyses,central path
P0106,regional biophysical,canonical,north_america,synth_n_current,76.0,kg N ha-1 yr-1,primitive,externally specified,FAOSTAT/IFA regional N-use aggregation,code/model/soil_n_model.py::get_default_regions[north_america].synth_n_current,fixed; not varied in submitted analyses,central path
P0107,regional biophysical,canonical,north_america,pop_supported,900.0,million people,primitive,externally specified,crop-calorie allocation; legacy annual output only,code/model/soil_n_model.py::get_default_regions[north_america].pop_supported,fixed; not varied in submitted analyses,central path
P0108,regional biophysical,canonical,north_america,texture_class,1,ordinal class,primitive,externally specified,regional dominant-texture simplification,code/model/soil_n_model.py::get_default_regions[north_america].texture_class,fixed; not varied in submitted analyses,central path
P0109,regional biophysical,canonical,north_america,whc_sensitivity,3.48,mm per SOC percentage point,primitive,externally specified,derived 0-30 cm Minasny and McBratney 2018 scaling,code/model/soil_n_model.py::get_default_regions[north_america].whc_sensitivity,deterministic bounds 2.3-8.4,central path
P0110,regional biophysical,canonical,north_america,water_stress_coeff,0.003,fraction per mm,primitive,externally specified,regional structural assumption,code/model/soil_n_model.py::get_default_regions[north_america].water_stress_coeff,fixed; not varied in submitted analyses,central path
P0111,regional biophysical,canonical,north_america,baseline_water_deficit,0.0,mm,primitive,externally specified,regional structural assumption,code/model/soil_n_model.py::get_default_regions[north_america].baseline_water_deficit,fixed; not varied in submitted analyses,central path
P0112,regional biophysical,canonical,north_america,atm_n_deposition,10.0,kg N ha-1 yr-1,primitive,externally specified,Dentener/Vet/EMEP/NADP source family,code/model/soil_n_model.py::get_default_regions[north_america].atm_n_deposition,fixed; not varied in submitted analyses,central path
P0113,regional biophysical,canonical,north_america,bnf_potential,31.923076923076923,kg N ha-1 yr-1,derived,"derived, not independently specified",derived from BNF component primitives,code/model/soil_n_model.py::get_default_regions[north_america].bnf_potential,fixed; not varied in submitted analyses,central path
